,date,spendingDetail,spendingAmount,currency
0,11 ม.ย. 67,ILM-RANGSIT PATHUMTHANI TH,1495.0,THB
1,11 ม.ย. 67,ILM-RANGSIT PATHUMTHANI TH,22270.0,THB
2,11 ม.ย. 67,BIG C SUPERCENTER-RANGSITPATHUMTHANI TH,1854.0,THB
3,09 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,358.0,THB
4,09 ม.ย. 67,TMN 7-11 BANGKOK TH,74.0,THB
5,09 ม.ย. 67,TMN 7-11 BANGKOK TH,118.0,THB
6,09 ม.ย. 67,TMN 7-11 BANGKOK TH,144.0,THB
7,08 ม.ย. 67,AGODA.COM RUENNAKORN Internet SG,941.42,THB
8,08 ม.ย. 67,TMN 7-11 BANGKOK TH,20.0,THB
9,08 ม.ย. 67,TMN 7-11 BANGKOK TH,167.0,THB
10,08 ม.ย. 67,MR.D.I.Y.-BB57-ZRRS PATHUMTHANI TH,425.0,THB
11,07 ม.ย. 67,TMN 7-11 BANGKOK TH,35.0,THB
12,07 ม.ย. 67,TMN 7-11 BANGKOK TH,130.0,THB
13,07 ม.ย. 67,TMN 7-11 BANGKOK TH,227.0,THB
14,06 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,5233.0,THB
15,06 ม.ย. 67,TMN 7-11 BANGKOK TH,30.0,THB
16,04 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,5468.0,THB
17,04 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,4987.0,THB
18,04 ม.ย. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,8960.0,THB
19,04 ม.ย. 67,TMN 7-11 BANGKOK TH,153.0,THB
20,04 ม.ย. 67,TOPS-EAST VILLE BANGKOK TH,94.0,THB
21,03 ม.ย. 67,TMN 7-11 BANGKOK TH,85.0,THB
22,01 ม.ย. 67,TMN 7-11 BANGKOK TH,85.0,THB
23,01 ม.ย. 67,WWW.GRAB.COM BANGKOK TH,159.0,THB
24,30 พ.ค. 67,TMN 7-11 BANGKOK TH,310.0,THB
25,28 พ.ค. 67,TMN 7-11 BANGKOK TH,150.0,THB
26,28 พ.ค. 67,SANTA FE STEAK-ZEERRANGSIPATHUMTHANI TH,397.0,THB
27,27 พ.ค. 67,TMN 7-11 BANGKOK TH,105.0,THB
28,27 พ.ค. 67,TMN 7-11 BANGKOK TH,288.0,THB
29,26 พ.ค. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,349.0,THB
30,25 พ.ค. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,968.0,THB
31,25 พ.ค. 67,TMN 7-11 BANGKOK TH,143.0,THB
32,25 พ.ค. 67,TMN 7-11 BANGKOK TH,175.0,THB
33,25 พ.ค. 67,COUNTER SERVICE UT. BANGKOK TH,4608.43,THB
34,25 พ.ค. 67,PHRIKKHUA KAPIHOM-HOMEPROPATHUMTHANI TH,565.0,THB
35,24 พ.ค. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,210.0,THB
36,24 พ.ค. 67,SHOPEEPAY *(FOR SHOPEE)BANGKOK TH,285.0,THB
37,24 พ.ค. 67,TMN 7-11 BANGKOK TH,45.0,THB
38,22 พ.ค. 67,VICHAIVEJ INT'L OMNOI HOSSAMUTSAKHON TH,3580.0,THB
39,22 พ.ค. 67,PTTST.D REST AREA BANGKOK TH,1000.0,THB
40,21 พ.ค. 67,STUDIO7-FUTURE PARK RANGS 001/010,3689.0,THB
41,19 พ.ค. 67,GRABTAXI 000BANGKOK TH,19.0,THB
42,18 พ.ค. 67,SHOPEETH BANGKOK 002/003,5834.66,THB
43,17 พ.ค. 67,TMN 7-11 BANGKOK TH,35.0,THB
44,17 พ.ค. 67,TMN 7-11 BANGKOK TH,175.0,THB
45,17 พ.ค. 67,TMN TRUEBILL BANGKOK TH,650.93,THB
46,17 พ.ค. 67,TMN TRUEBILL BANGKOK TH,499.16,THB
47,17 พ.ค. 67,TMN TRUEBILL BANGKOK TH,640.93,THB
48,16 พ.ค. 67,TMN 7-11 BANGKOK TH,61.0,THB
49,13 พ.ค. 67,TMN 7-11 BANGKOK TH,98.0,THB
50,13 พ.ค. 67,ILM-RANGSIT PATHUMTHANI TH,14540.0,THB
51,11 พ.ค. 67,SHOPEEPAY *(SHOPEEPAY) BANGKOK TH,3376.0,THB
